ip,type_http,port
223.240.208.139,HTTP,9999
115.216.56.109,HTTP,9999
114.224.20.69,HTTPS,9999
122.193.231.37,HTTP,9999
111.79.44.185,HTTP,9999
114.99.234.152,HTTP,9999
114.231.42.132,HTTPS,9999
49.76.193.203,HTTP,9999
60.168.81.206,HTTP,9999
115.216.43.75,HTTP,9999
1.196.105.218,HTTP,9999
115.216.57.201,HTTPS,9999
